Disease Name,Related Symptoms,Specialist Type
Hypertension,"Headaches, blurred vision, chest pain",Cardiology
Coronary Artery Disease,"Chest pain, shortness of breath, fatigue",Cardiology
Arrhythmia,"Irregular heartbeat, dizziness, fainting",Cardiology
Heart Failure,"Swelling in legs, rapid weight gain, fatigue",Cardiology
Myocarditis,"Chest pain, fever, shortness of breath",Cardiology
Migraine,"Throbbing headache, nausea, light sensitivity",Neurology
Epilepsy,"Seizures, loss of consciousness, confusion",Neurology
Parkinson? Disease,"Tremors, stiffness, slow movement",Neurology
Multiple Sclerosis,"Numbness, balance issues, vision problems",Neurology
Alzheimer? Disease,"Memory loss, confusion, mood swings",Neurology
Eczema,"Itchy skin, redness, dry patches",Dermatology
Psoriasis,"Thick red patches, silvery scales, itching",Dermatology
Acne,"Pimples, blackheads, oily skin",Dermatology
Melanoma,"Irregular moles, skin lesions, itching",Dermatology
Rosacea,"Facial redness, swollen bumps, eye irritation",Dermatology
Diabetes,"Frequent urination, thirst, fatigue",Endocrinology
Hypothyroidism,"Weight gain, fatigue, cold intolerance",Endocrinology
Hyperthyroidism,"Weight loss, rapid heartbeat, sweating",Endocrinology
Cushing? Syndrome,"Weight gain, purple stretch marks, fatigue",Endocrinology
Addison? Disease,"Fatigue, darkening skin, dizziness",Endocrinology
GERD,"Heartburn, regurgitation, chest pain",Gastroenterology
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, diarrhea/constipation",Gastroenterology
Crohn? Disease,"Diarrhea, weight loss, abdominal pain",Gastroenterology
Ulcerative Colitis,"Bloody diarrhea, cramps, urgency to defecate",Gastroenterology
Hepatitis,"Jaundice, fatigue, nausea",Gastroenterology
Asthma,"Wheezing, shortness of breath, coughing",Pulmonology
COPD,"Chronic cough, mucus production, fatigue",Pulmonology
Pneumonia,"Fever, cough with phlegm, chest pain",Pulmonology
Tuberculosis,"Persistent cough, weight loss, night sweats",Pulmonology
Pulmonary Fibrosis,"Shortness of breath, dry cough, fatigue",Pulmonology
Rheumatoid Arthritis,"Joint pain, swelling, morning stiffness",Rheumatology
Lupus,"Fatigue, joint pain, butterfly rash",Rheumatology
Gout,"Sudden joint pain (big toe), redness, swelling",Rheumatology
Osteoarthritis,"Joint stiffness, pain worsens with activity",Rheumatology
Fibromyalgia,"Widespread pain, fatigue, sleep issues",Rheumatology
Anemia,"Fatigue, pale skin, shortness of breath",Hematology
Leukemia,"Frequent infections, fatigue, weight loss",Hematology
